trecho_id,solo_ordem,solo_subordem,solo_textura,solo_relevo,solo_erosao,solo_dren_idx,solo_risco
RO-ARQ-5224,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5225,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5226,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5227,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5228,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5229,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5230,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5231,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5232,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5233,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5234,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5235,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5236,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5237,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5238,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5239,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5240,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5241,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5242,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5243,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5244,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5245,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5246,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5247,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5248,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5249,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5250,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5251,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5252,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5253,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5254,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5255,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5256,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5257,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5258,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5259,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5260,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5261,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5262,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5263,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5264,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5265,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5266,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5267,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5268,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5269,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5270,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5271,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5272,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5273,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5274,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5275,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5276,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5277,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5278,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5279,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5280,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5281,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5282,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5283,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5284,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5285,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5286,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5287,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5288,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5289,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5290,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5291,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5292,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5293,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5294,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5295,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5296,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5297,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5298,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5299,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5300,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5301,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5302,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5303,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5304,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5305,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5306,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5307,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5308,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5309,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5310,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5311,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5312,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5313,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5314,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5315,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5316,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5317,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5318,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5319,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5320,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5321,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5322,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5323,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5324,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5325,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5326,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5327,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5328,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5329,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5330,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5331,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5332,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5333,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5334,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5335,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5336,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5337,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5338,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5339,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5340,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5341,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5342,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5343,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5344,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5345,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5346,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5347,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5348,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5349,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5350,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5351,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5352,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5353,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5354,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5355,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5356,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5357,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5358,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5359,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5360,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5361,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5362,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5363,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5364,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5365,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5366,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5367,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5368,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5369,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5370,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5371,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5372,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5373,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5374,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5375,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5376,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5377,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5378,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5379,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5380,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5381,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5382,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5383,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5384,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5385,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5386,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-5387,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5388,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5389,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5390,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5391,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5392,ARGISSOLO,VERMELHO-AMARELO,média/argilosa e arenosa/média,plano,,1.03,1
RO-ARQ-5393,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5394,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5395,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5396,ARGISSOLO,VERMELHO-AMARELO,média cascalhenta/argilosa cascalhenta,"forte 
ondulado",,1.03,1
RO-ARQ-5397,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5398,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5399,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-5400,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-5401,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
